
[34m[1mwandb[39m[22m: [33mWARNING[39m The save_model argument by default saves the model in the HDF5 format that cannot save custom objects like subclassed models and custom layers. This behavior will be deprecated in a future release in favor of the SavedModel format. Meanwhile, the HDF5 model is saved as W&B files and the SavedModel as W&B Artifacts.
Epoch 1/40
WARNING:tensorflow:Can save best model only with val_psnr available, skipping.

  1/242 [..............................] - ETA: 18:24:43 - loss: 0.3594 - psnr: 55.7952WARNING:tensorflow:Can save best model only with val_psnr available, skipping.

  2/242 [..............................] - ETA: 22:29:40 - loss: 0.2566 - psnr: 59.2978WARNING:tensorflow:Can save best model only with val_psnr available, skipping.

  3/242 [..............................] - ETA: 14:06:54 - loss: 0.2588 - psnr: 59.0268WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
  4/242 [..............................] - ETA: 11:03:10 - loss: 0.2627 - psnr: 59.0210WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
  5/242 [..............................] - ETA: 9:04:35 - loss: 0.2658 - psnr: 59.0107 WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
  6/242 [..............................] - ETA: 7:51:01 - loss: 0.2555 - psnr: 59.3724WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
  7/242 [..............................] - ETA: 7:01:26 - loss: 0.2784 - psnr: 58.8276WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
  8/242 [..............................] - ETA: 6:25:41 - loss: 0.2606 - psnr: 59.6064WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
  9/242 [>.............................] - ETA: 5:58:49 - loss: 0.2616 - psnr: 59.5597WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 10/242 [>.............................] - ETA: 5:37:37 - loss: 0.2597 - psnr: 59.5707WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 11/242 [>.............................] - ETA: 5:20:38 - loss: 0.2481 - psnr: 59.9975WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 12/242 [>.............................] - ETA: 5:06:31 - loss: 0.2368 - psnr: 60.4591WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
 13/242 [>.............................] - ETA: 4:54:47 - loss: 0.2270 - psnr: 60.7686WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
